Epoch: 0 
itr: 272, G_loss : -0.200, D_loss_real : +0.498, D_loss_fake : +0.918
itr: 273, G_loss : -0.236, D_loss_real : +0.152, D_loss_fake : +1.413
itr: 274, G_loss : -0.036, D_loss_real : +0.355, D_loss_fake : +0.334
itr: 275, G_loss : +0.069, D_loss_real : +2.207, D_loss_fake : +0.159
itr: 276, G_loss : +0.131, D_loss_real : +0.578, D_loss_fake : +0.110
itr: 277, G_loss : -0.067, D_loss_real : +0.924, D_loss_fake : +0.574
itr: 278, G_loss : +0.134, D_loss_real : +1.038, D_loss_fake : +0.638
itr: 279, G_loss : +0.186, D_loss_real : +0.487, D_loss_fake : +0.119
itr: 280, G_loss : +0.066, D_loss_real : +1.262, D_loss_fake : +0.263
itr: 281, G_loss : +0.071, D_loss_real : +0.276, D_loss_fake : +0.371
itr: 282, G_loss : +0.113, D_loss_real : +1.147, D_loss_fake : +0.155
itr: 283, G_loss : -0.027, D_loss_real : +1.219, D_loss_fake : +0.247
itr: 284, G_loss : +0.017, D_loss_real : +0.412, D_loss_fake : +0.171
itr: 285, G_loss : +0.101, D_loss_real : +0.777, D_loss_fake : +0.049
itr: 286, G_loss : -0.195, D_loss_real : +0.181, D_loss_fake : +0.903
itr: 287, G_loss : -0.081, D_loss_real : +0.037, D_loss_fake : +0.809
itr: 288, G_loss : -0.128, D_loss_real : +0.401, D_loss_fake : +0.684
itr: 289, G_loss : -0.133, D_loss_real : +1.483, D_loss_fake : +0.631
itr: 290, G_loss : -0.168, D_loss_real : +1.531, D_loss_fake : +0.757
itr: 291, G_loss : -0.436, D_loss_real : +0.422, D_loss_fake : +1.327
itr: 292, G_loss : -0.442, D_loss_real : +0.437, D_loss_fake : +1.465
itr: 293, G_loss : -0.140, D_loss_real : +0.328, D_loss_fake : +0.849
itr: 294, G_loss : +0.139, D_loss_real : +1.450, D_loss_fake : +0.256
itr: 295, G_loss : +0.156, D_loss_real : +0.695, D_loss_fake : +0.169
itr: 296, G_loss : +0.214, D_loss_real : +0.958, D_loss_fake : +0.070
itr: 297, G_loss : -0.311, D_loss_real : +3.018, D_loss_fake : +0.474
itr: 298, G_loss : -0.166, D_loss_real : +1.053, D_loss_fake : +0.772
itr: 299, G_loss : -0.208, D_loss_real : +0.528, D_loss_fake : +0.524
itr: 300, G_loss : -0.190, D_loss_real : +1.747, D_loss_fake : +0.618
itr: 301, G_loss : -0.110, D_loss_real : +1.005, D_loss_fake : +0.490
itr: 302, G_loss : +0.131, D_loss_real : +1.788, D_loss_fake : +0.178
itr: 303, G_loss : +0.134, D_loss_real : +0.406, D_loss_fake : +0.119
itr: 304, G_loss : -0.319, D_loss_real : +0.141, D_loss_fake : +0.982
itr: 305, G_loss : -0.272, D_loss_real : +1.748, D_loss_fake : +0.663
itr: 306, G_loss : -0.077, D_loss_real : +1.081, D_loss_fake : +0.516
itr: 307, G_loss : -0.211, D_loss_real : +0.606, D_loss_fake : +0.657
itr: 308, G_loss : -0.086, D_loss_real : +1.148, D_loss_fake : +0.471
itr: 309, G_loss : -0.446, D_loss_real : +0.869, D_loss_fake : +1.274
itr: 310, G_loss : -0.227, D_loss_real : +1.426, D_loss_fake : +1.055
itr: 311, G_loss : +0.103, D_loss_real : +0.820, D_loss_fake : +0.537
itr: 312, G_loss : -0.025, D_loss_real : +3.366, D_loss_fake : +0.019
itr: 313, G_loss : -0.082, D_loss_real : +0.561, D_loss_fake : +0.728
itr: 314, G_loss : -0.650, D_loss_real : +0.927, D_loss_fake : +1.767
itr: 315, G_loss : -0.271, D_loss_real : +0.435, D_loss_fake : +1.044
itr: 316, G_loss : -0.104, D_loss_real : +0.399, D_loss_fake : +0.790
itr: 317, G_loss : -0.223, D_loss_real : +1.408, D_loss_fake : +0.799
itr: 318, G_loss : +0.143, D_loss_real : +0.208, D_loss_fake : +0.646
itr: 319, G_loss : +0.176, D_loss_real : +0.599, D_loss_fake : +0.088
itr: 320, G_loss : -0.240, D_loss_real : +2.514, D_loss_fake : +0.022
itr: 321, G_loss : -0.136, D_loss_real : +1.858, D_loss_fake : +0.256
itr: 322, G_loss : -0.185, D_loss_real : +1.089, D_loss_fake : +0.656
itr: 323, G_loss : +0.006, D_loss_real : +0.496, D_loss_fake : +0.666
itr: 324, G_loss : +0.114, D_loss_real : +0.645, D_loss_fake : +0.501
itr: 325, G_loss : +0.074, D_loss_real : +1.438, D_loss_fake : +0.257
itr: 326, G_loss : +0.126, D_loss_real : +2.173, D_loss_fake : +0.063
itr: 327, G_loss : +0.096, D_loss_real : +1.503, D_loss_fake : +0.141
itr: 328, G_loss : +0.162, D_loss_real : +0.966, D_loss_fake : +0.026
itr: 329, G_loss : -0.252, D_loss_real : +0.627, D_loss_fake : +0.937
itr: 330, G_loss : -0.276, D_loss_real : +0.602, D_loss_fake : +0.792
itr: 331, G_loss : -0.296, D_loss_real : +0.353, D_loss_fake : +0.731
itr: 332, G_loss : -0.226, D_loss_real : +1.053, D_loss_fake : +0.475
itr: 333, G_loss : -0.276, D_loss_real : +1.310, D_loss_fake : +0.361
itr: 334, G_loss : -0.055, D_loss_real : +0.529, D_loss_fake : +0.455
itr: 335, G_loss : -0.162, D_loss_real : +0.129, D_loss_fake : +1.041
itr: 336, G_loss : -0.312, D_loss_real : +0.860, D_loss_fake : +1.005
itr: 337, G_loss : -0.268, D_loss_real : +0.783, D_loss_fake : +0.983
itr: 338, G_loss : -0.186, D_loss_real : +0.695, D_loss_fake : +0.803
itr: 339, G_loss : -0.141, D_loss_real : +0.612, D_loss_fake : +0.601
itr: 340, G_loss : -0.294, D_loss_real : +1.622, D_loss_fake : +0.771
